"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"24.1","2019-07-25"," 9:17:00 AM","2019-07-25"," 9:19:00 AM","PE","11300","Buy","25","39.65","31.70","","-198.75"
"24.2","2019-07-25"," 9:17:00 AM","2019-07-25"," 11:56:00 AM","PE","11250","Sell","25","17.00","20.40","","-85.00"
"25","2019-08-01"," 9:17:00 AM","2019-08-01"," 10:54:00 AM","","","","","","","14.02","-218.75"
"25.1","2019-08-01"," 9:17:00 AM","2019-08-01"," 9:19:00 AM","PE","11050","Buy","25","29.85","23.90","","-148.75"
"25.2","2019-08-01"," 9:17:00 AM","2019-08-01"," 10:54:00 AM","PE","11000","Sell","25","13.90","16.70","","-70.00"
"26","2019-08-08"," 9:17:00 AM","2019-08-08"," 10:25:00 AM","","","","","","","15.63","-217.50"
"26.1","2019-08-08"," 9:17:00 AM","2019-08-08"," 10:25:00 AM","PE","10900","Buy","25","29.75","23.80","","-148.75"
"26.2","2019-08-08"," 9:17:00 AM","2019-08-08"," 9:21:00 AM","PE","10850","Sell","25","13.75","16.50","","-68.75"
"27","2019-08-14"," 9:17:00 AM","2019-08-14"," 9:24:00 AM","","","","","","","16.67","-251.25"
"27.1","2019-08-14"," 9:17:00 AM","2019-08-14"," 9:24:00 AM","PE","10950","Buy","25","34.00","27.20","","-170.00"
"27.2","2019-08-14"," 9:17:00 AM","2019-08-14"," 9:18:00 AM","PE","10900","Sell","25","16.20","19.45","","-81.25"
"28","2019-08-22"," 9:17:00 AM","2019-08-22"," 3:15:00 PM","","","","","","","17.23","2522.50"
"28.1","2019-08-22"," 9:17:00 AM","2019-08-22"," 3:15:00 PM","PE","10900","Buy","25","38.55","143.10","","2613.75"
"28.2","2019-08-22"," 9:17:00 AM","2019-08-22"," 9:20:00 AM","PE","10850","Sell","25","18.35","22.00","","-91.25"
"29","2019-08-29"," 9:17:00 AM","2019-08-29"," 9:51:00 AM","","","","","","","16.54","-288.75"
"29.1","2019-08-29"," 9:17:00 AM","2019-08-29"," 9:51:00 AM","PE","11000","Buy","25","40.65","33.35","","-182.50"
"29.2","2019-08-29"," 9:17:00 AM","2019-08-29"," 9:25:00 AM","PE","10950","Sell","25","21.20","25.45","","-106.25"
"30","2019-09-05"," 9:17:00 AM","2019-09-05"," 11:44:00 AM","","","","","","","16.68","-302.50"
"30.1","2019-09-05"," 9:17:00 AM","2019-09-05"," 9:20:00 AM","PE","10900","Buy","25","40.90","32.70","","-205.00"
"30.2","2019-09-05"," 9:17:00 AM","2019-09-05"," 11:44:00 AM","PE","10850","Sell","25","19.50","23.40","","-97.50"
"31","2019-09-12"," 9:17:00 AM","2019-09-12"," 11:16:00 AM","","","","","","","14.95","-170.00"
"31.1","2019-09-12"," 9:17:00 AM","2019-09-12"," 9:18:00 AM","PE","11050","Buy","25","25.00","20.00","","-125.00"
"31.2","2019-09-12"," 9:17:00 AM","2019-09-12"," 11:16:00 AM","PE","11000","Sell","25","8.90","10.70","","-45.00"
"32","2019-09-19"," 9:17:00 AM","2019-09-19"," 3:15:00 PM","","","","","","","15.44","1540.00"
"32.1","2019-09-19"," 9:17:00 AM","2019-09-19"," 3:15:00 PM","PE","10800","Buy","25","29.95","94.05","","1602.50"
"32.2","2019-09-19"," 9:17:00 AM","2019-09-19"," 9:21:00 AM","PE","10750","Sell","25","12.60","15.10","","-62.50"
"33","2019-09-26"," 9:17:00 AM","2019-09-26"," 3:15:00 PM","","","","","","","15.95","306.25"
"33.1","2019-09-26"," 9:17:00 AM","2019-09-26"," 9:21:00 AM","PE","11500","Buy","25","39.55","31.65","","-197.50"
"33.2","2019-09-26"," 9:17:00 AM","2019-09-26"," 3:15:00 PM","PE","11450","Sell","25","20.25","0.10","","503.75"
"34","2019-10-03"," 9:17:00 AM","2019-10-03"," 3:15:00 PM","","","","","","","17.72","578.75"
"34.1","2019-10-03"," 9:17:00 AM","2019-10-03"," 9:25:00 AM","PE","11300","Buy","25","56.65","45.30","","-283.75"
"34.2","2019-10-03"," 9:17:00 AM","2019-10-03"," 3:15:00 PM","PE","11250","Sell","25","34.55","0.05","","862.50"
"35","2019-10-10"," 9:17:00 AM","2019-10-10"," 10:48:00 AM","","","","","","","17.02","-350.00"
"35.1","2019-10-10"," 9:17:00 AM","2019-10-10"," 10:48:00 AM","PE","11300","Buy","25","47.45","37.95","","-237.50"
"35.2","2019-10-10"," 9:17:00 AM","2019-10-10"," 9:20:00 AM","PE","11250","Sell","25","22.60","27.10","","-112.50"
"36","2019-10-17"," 9:17:00 AM","2019-10-17"," 3:15:00 PM","","","","","","","16.12","122.50"
"36.1","2019-10-17"," 9:17:00 AM","2019-10-17"," 9:19:00 AM","PE","11450","Buy","25","26.50","21.20","","-132.50"
"36.2","2019-10-17"," 9:17:00 AM","2019-10-17"," 3:15:00 PM","PE","11400","Sell","25","10.25","0.05","","255.00"
"37","2019-10-24"," 9:17:00 AM","2019-10-24"," 3:15:00 PM","","","","","","","15.83","920.00"
"37.1","2019-10-24"," 9:17:00 AM","2019-10-24"," 3:15:00 PM","PE","11650","Buy","25","28.80","67.90","","977.50"
"37.2","2019-10-24"," 9:17:00 AM","2019-10-24"," 9:28:00 AM","PE","11600","Sell","25","11.55","13.85","","-57.50"
"38","2019-10-31"," 9:17:00 AM","2019-10-31"," 3:15:00 PM","","","","","","","16.66","236.25"
"38.1","2019-10-31"," 9:17:00 AM","2019-10-31"," 9:24:00 AM","PE","11900","Buy","25","43.35","34.70","","-216.25"
"38.2","2019-10-31"," 9:17:00 AM","2019-10-31"," 3:15:00 PM","PE","11850","Sell","25","18.30","0.20","","452.50"
"39","2019-11-07"," 9:17:00 AM","2019-11-07"," 10:15:00 AM","","","","","","","15.39","-288.75"
"39.1","2019-11-07"," 9:17:00 AM","2019-11-07"," 9:20:00 AM","PE","12000","Buy","25","40.50","32.40","","-202.50"
"39.2","2019-11-07"," 9:17:00 AM","2019-11-07"," 10:15:00 AM","PE","11950","Sell","25","17.25","20.70","","-86.25"
"40","2019-11-14"," 9:17:00 AM","2019-11-14"," 10:42:00 AM","","","","","","","15.85","-273.75"
"40.1","2019-11-14"," 9:17:00 AM","2019-11-14"," 10:42:00 AM","PE","11850","Buy","25","38.70","30.95","","-193.75"
"40.2","2019-11-14"," 9:17:00 AM","2019-11-14"," 9:26:00 AM","PE","11800","Sell","25","15.90","19.10","","-80.00"
"41","2019-11-21"," 9:17:00 AM","2019-11-21"," 3:15:00 PM","","","","","","","14.75","192.50"
"41.1","2019-11-21"," 9:17:00 AM","2019-11-21"," 9:19:00 AM","PE","12000","Buy","25","38.00","30.40","","-190.00"
