"Index","Entry Date","Entry Time","Exit Date","Exit Time","Type","Strike","B/S","Qty","Entry Price","Exit Price","Vix","P/L"
"15","2019-05-23"," 9:17:00 AM","2019-05-23"," 9:28:00 AM","","","","","","","23.15","1293.75"
"15.1","2019-05-23"," 9:17:00 AM","2019-05-23"," 9:18:00 AM","CE","12100","Buy","25","86.20","68.95","","-431.25"
"15.2","2019-05-23"," 9:17:00 AM","2019-05-23"," 9:20:00 AM","PE","11700","Buy","25","82.40","65.90","","-412.50"
"15.3","2019-05-23"," 9:17:00 AM","2019-05-23"," 9:28:00 AM","CE","12000","Sell","25","120.40","107.00","","335.00"
"15.4","2019-05-23"," 9:17:00 AM","2019-05-23"," 9:28:00 AM","PE","11800","Sell","25","117.10","45.00","","1802.50"
"16","2019-05-30"," 9:17:00 AM","2019-05-30"," 9:40:00 AM","","","","","","","15.81","-76.25"
"16.1","2019-05-30"," 9:17:00 AM","2019-05-30"," 9:18:00 AM","CE","12050","Buy","25","0.40","0.30","","-2.50"
"16.2","2019-05-30"," 9:17:00 AM","2019-05-30"," 9:18:00 AM","PE","11650","Buy","25","0.30","0.25","","-1.25"
"16.3","2019-05-30"," 9:17:00 AM","2019-05-30"," 9:40:00 AM","CE","11950","Sell","25","4.40","8.65","","-106.25"
"16.4","2019-05-30"," 9:17:00 AM","2019-05-30"," 9:40:00 AM","PE","11750","Sell","25","2.40","1.05","","33.75"
"17","2019-06-06"," 9:17:00 AM","2019-06-06"," 11:43:00 AM","","","","","","","14.77","-108.75"
"17.1","2019-06-06"," 9:17:00 AM","2019-06-06"," 9:19:00 AM","CE","12200","Buy","25","0.60","0.50","","-2.50"
"17.2","2019-06-06"," 9:17:00 AM","2019-06-06"," 9:18:00 AM","PE","11800","Buy","25","0.60","0.50","","-2.50"
"17.3","2019-06-06"," 9:17:00 AM","2019-06-06"," 11:43:00 AM","CE","12100","Sell","25","6.20","1.85","","108.75"
"17.4","2019-06-06"," 9:17:00 AM","2019-06-06"," 11:43:00 AM","PE","11900","Sell","25","2.90","11.40","","-212.50"
"18","2019-06-13"," 9:17:00 AM","2019-06-13"," 11:37:00 AM","","","","","","","14.23","68.75"
"18.1","2019-06-13"," 9:17:00 AM","2019-06-13"," 9:18:00 AM","CE","12050","Buy","25","0.30","0.25","","-1.25"
